features,likelihoods,n_points,overlap,range_lik,e_tau,has_mean,has_range
daily: mean; day: range; night: mean,mean=skew_normal; range=beta,24,0.5,beta,6.640139259880357,True,True
"day: mean, range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.974016627611092,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,6.49872563764517,True,True
daily: range; day: mean; night: range,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.547031771123456,True,True
daily: mean; night: range,mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,6.178754082166016,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta,24,0.5,beta,2.546844662418599,True,True
daily: range; night: mean,mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.000813704513107,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.221444483044105,True,True
daily: mean; night: range,mean=student_t; range=beta_constrained,12,0.25,beta_constrained,5.014567360646855,True,True
daily: mean; day: range; night: mean,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,5.793509143177109,True,True
"daily: mean, range; night: mean",mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.983461446359705,True,True
daily: mean; night: range,mean=skew_normal; range=beta,12,0.25,beta,6.011745724715023,True,True
daily: range; day: range; night: mean,mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.151179840877987,True,True
day: range; night: mean,mean=skew_normal; range=beta,24,0.25,beta,3.2605979783505363,True,True
daily: range; night: mean,mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.000949473237587,True,True
daily: range; day: mean; night: range,mean=student_t; range=beta,24,0.5,beta,2.785101491695911,True,True
day: range; night: range,range=beta_constrained,12,0.0,beta_constrained,5.567838343082396,False,True
daily: range; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.163355764079801,True,True
daily: mean; night: range,mean=student_t; range=beta,12,0.5,beta,2.0242674540803867,True,True
"daily: mean, range; night: mean",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.033877867749258,True,True
daily: mean; day: range; night: mean,mean=student_t; range=beta,24,0.5,beta,5.585727032343441,True,True
daily: mean; night: range,mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,6.332189523321232,True,True
day: range; night: mean,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,3.5241994088203565,True,True
daily: range; day: mean,mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,3.747461424278404,True,True
daily: mean; night: range,mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,5.555296560796752,True,True
day: range; night: mean,mean=student_t; range=beta,24,0.25,beta,3.3445021193188875,True,True
daily: mean; night: range,mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,2.315262087124484,True,True
day: range; night: range,range=beta,12,0.0,beta,5.63643958629844,False,True
"daily: mean, range; night: mean",mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.998087752277607,True,True
daily: range; day: range; night: mean,mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.000077098330067,True,True
daily: mean; night: range,mean=student_t; range=beta_constrained,12,0.5,beta_constrained,2.133601458559218,True,True
"day: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.888235426191609,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.545937466221141,True,True
"day: mean, range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.628709903406341,True,True
"day: range; night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.064889804434171,True,True
"day: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.655231911488366,True,True
"daily: range; night: mean, range",mean=student_t; range=beta,12,0.0,beta,7.018603910163455,True,True
"day: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,2.826172952692528,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,2.241990883454245,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.00176419217185,True,True
"day: range; night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,3.3457958603264246,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=beta,24,0.25,beta,4.756356317375605,True,True
daily: mean; day: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.115892820171793,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta,12,0.0,beta,6.98062067541619,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta,12,0.0,beta,7.000186335785051,True,True
daily: range; day: mean; night: mean,mean=student_t; range=beta,24,0.25,beta,4.240001932023946,True,True
daily: range; day: mean; night: range,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,5.798660392199589,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,5.861382799658706,True,True
day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.188604908800437,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta,12,0.25,beta,5.865908942759024,True,True
daily: range; day: mean; night: range,mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.001448552158627,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,5.833000250156422,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.765280941163149,True,True
daily: range; day: mean,mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.478683677322856,True,True
"day: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,4.499772986121729,True,True
"daily: range; day: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.787104084399746,True,True
"day: mean, range",mean=student_t; range=beta,24,0.0,beta,5.801496866006368,True,True
daily: range; day: mean,mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,7.153897091070334,True,True
day: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.07522903061667,True,True
"day: mean, range",mean=skew_normal; range=beta,24,0.0,beta,5.822814633514426,True,True
"daily: range; day: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.854399696161008,True,True
daily: range; day: mean; night: range,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,2.31400106096354,True,True
"daily: mean, range; day: mean",mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.035241492107531,True,True
"day: mean, range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,6.782403616977441,True,True
"daily: mean; night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.798731825224133,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,6.344025222298964,True,True
"daily: range; day: mean, range",mean=student_t; range=beta,12,0.25,beta,5.8326089071279545,True,True
day: range,range=beta_constrained,12,0.0,beta_constrained,5.683906260680916,False,True
"day: range; night: mean, range",mean=skew_normal; range=beta,24,0.0,beta,3.2770714257095186,True,True
"day: mean, range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,6.718261625035801,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,4.353328653444658,True,True
"daily: range; day: mean, range",mean=student_t; range=beta_constrained,12,0.25,beta_constrained,5.890999261009578,True,True
day: range; night: range,range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.7799212131173,False,True
"daily: range; day: mean, range",mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.0336683618491165,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.987045807166481,True,True
day: range,range=beta,12,0.0,beta,5.055947315857685,False,True
"daily: range; night: mean, range",mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.409796233429016,True,True
"daily: range; day: mean, range",mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.06599283501248,True,True
"day: range; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0000011040255736,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.012871931529459,True,True
"day: range; night: mean, range",mean=student_t; range=beta,24,0.0,beta,2.45684012083645,True,True
daily: range; day: mean; night: range,mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,6.050530316837882,True,True
daily: range; day: mean,mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.0001145475179225,True,True
"day: mean, range; night: mean",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,7.000064666666065,True,True
"daily: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.261994012722562,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=beta,24,0.5,beta,6.2261408246208365,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta,12,0.0,beta,7.009646524698189,True,True
"day: range; night: mean, range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.003592487578038,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,6.242643142606251,True,True
"day: range; night: mean, range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.246127178595,True,True
"daily: range; day: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.72248113516534,True,True
"daily: mean; day: mean, range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,3.169307110440246,True,True
"day: mean, range; night: mean",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.9496413160089325,True,True
daily: range; day: mean; night: range,mean=student_t; range=beta,12,0.0,beta,7.009318635466979,True,True
daily: range; day: mean,mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.0001380893854455,True,True
daily: range; day: range; night: mean,mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.449143234006983,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.533439250646048,True,True
"day: range; night: mean, range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,4.479928326132519,True,True
"day: range; night: mean, range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.26741774585734,True,True
"day: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,2.8368034058673683,True,True
"daily: mean; day: mean, range",mean=student_t; range=beta,24,0.5,beta,6.060087768990673,True,True
"day: mean, range; night: range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,2.5228405351672376,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=beta,24,0.25,beta,6.659469243434261,True,True
"day: range; night: mean, range",mean=skew_normal; range=beta,24,0.25,beta,6.722285552633502,True,True
"daily: range; day: mean, range",mean=student_t; range=beta,12,0.0,beta,6.997392481779046,True,True
"day: range; night: mean, range",mean=student_t; range=beta,24,0.25,beta,5.2778203937596055,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,7.058883892495635,True,True
"daily: range; day: mean, range",mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.547031052311369,True,True
"daily: mean; day: mean, range",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,5.777461552772639,True,True
"daily: mean; night: mean, range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,4.589614740144414,True,True
daily: range; day: range; night: mean,mean=student_t; range=beta_constrained,12,0.25,beta_constrained,5.700535648375026,True,True
"daily: mean; night: mean, range",mean=student_t; range=beta,24,0.25,beta,5.050603316886727,True,True
"day: mean, range; night: mean",mean=skew_normal; range=beta,24,0.0,beta,6.390199159442669,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,7.04228183873112,True,True
"day: mean, range; night: mean",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.498986503553057,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.12562821403061,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.911442479548484,True,True
"day: mean, range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.085591669823782,True,True
"day: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.162978903177983,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.406464698911531,True,True
"day: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,3.19822871841292,True,True
"day: mean, range; night: mean",mean=student_t; range=beta,24,0.0,beta,5.986310067784821,True,True
daily: range; night: mean,mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.954200213541043,True,True
daily: range; night: mean,mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.890037412168633,True,True
"day: mean, range; night: range",mean=skew_normal; range=beta,24,0.0,beta,5.316764946122377,True,True
night: range,range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.1113814871061365,False,True
"day: mean, range; night: range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,4.500159948886753,True,True
"day: mean, range; night: mean",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,6.925993589257437,True,True
"day: mean, range; night: mean",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.423298611949839,True,True
"day: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,3.8461961415841417,True,True
day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,4.499486762989704,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,4.500000876343131,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.243615707044693,True,True
"daily: mean; day: mean, range",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.081051071650641,True,True
daily: range; day: mean; night: range,mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.059936054939978,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta,12,0.5,beta,4.705936255616392,True,True
"day: mean, range; night: range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.33566695410215,True,True
"day: mean, range; night: range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000063285561845,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta,12,0.25,beta,6.833587334808547,True,True
daily: mean; day: mean; night: range,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.433448858427397,True,True
day: range,range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.300317629396088,False,True
"daily: range; day: mean, range",mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.998094921001635,True,True
daily: range; day: mean; night: mean,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.1947680207566895,True,True
"daily: mean; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.9479154476317815,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,5.468247109684977,True,True
daily: range; day: mean; night: mean,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,5.793734350221005,True,True
"day: mean, range; night: range",mean=student_t; range=beta,24,0.0,beta,3.740831719366304,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,5.525714059082793,True,True
daily: mean; day: mean; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.599519380172764,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.993143630963558,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta,12,0.25,beta,5.140031060022373,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta,12,0.5,beta,3.850925102310505,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,3.5012012252240177,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,3.872597211960066,True,True
"day: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,7.1550492866253705,True,True
"daily: range; day: mean, range",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.008145215355942,True,True
daily: range; night: mean,mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.927409095023697,True,True
"day: range; night: mean, range",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,3.221580674858903,True,True
"day: range; night: mean, range",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,2.8871780120359767,True,True
"day: range; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,6.858094504982744,True,True
"day: mean, range; night: range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.000250126257572,True,True
"day: range; night: mean, range",mean=skew_normal; range=beta,24,0.5,beta,3.113558835899602,True,True
"day: mean, range; night: range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.001086613993712,True,True
daily: range; day: mean; night: range,mean=student_t; range=beta_constrained,12,0.25,beta_constrained,5.40729588830029,True,True
daily: range; day: mean,mean=skew_normal; range=beta,12,0.0,beta,6.991714879866384,True,True
"daily: range; day: mean, range",mean=student_t; range=beta,12,0.5,beta,3.941176892474099,True,True
daily: range; day: mean; night: range,mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.707257338676307,True,True
"day: mean, range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,3.573089540086361,True,True
"day: range; night: mean, range",mean=student_t; range=beta,24,0.5,beta,2.7710720931289274,True,True
daily: range; day: mean; night: range,mean=student_t; range=beta,12,0.25,beta,5.191929801498844,True,True
"day: mean, range",mean=skew_normal; range=beta,24,0.25,beta,3.33583465090482,True,True
daily: range; day: range; night: mean,mean=student_t; range=beta_constrained,12,0.5,beta_constrained,3.837735289829981,True,True
daily: range; day: range; night: mean,mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.483939862660183,True,True
daily: range; day: range; night: mean,mean=student_t; range=beta,12,0.5,beta,3.056022968235728,True,True
"daily: range; day: mean, range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,3.4416042555676234,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,5.107945717100866,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,3.841786846595099,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=beta,24,0.5,beta,5.155393958484535,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,5.373818677282434,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.410450473578684,True,True
day: range; night: mean,mean=skew_normal; range=beta,24,0.5,beta,5.74961035298338,True,True
"daily: range; day: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.949200816375829,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,6.933913265395965,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,6.526858964530505,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta,12,0.25,beta,6.14898947051,True,True
"day: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.222906982432715,True,True
"day: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.270758551245217,True,True
"daily: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.308406056827065,True,True
day: range; night: mean,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,5.455335813147137,True,True
daily: range; day: mean; night: mean,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,3.879954634660124,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,6.269443397691491,True,True
"daily: mean; night: mean, range",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,2.581270953195385,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.925160065634561,True,True
daily: range; day: mean,mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.689798006055328,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,6.154590914671538,True,True
"day: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.0744935067189583,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.881693310061825,True,True
"daily: mean; night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,4.067704982505282,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,5.035576779891004,True,True
daily: range; day: mean; night: range,mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.507937259630859,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,4.86220203111004,True,True
"day: mean, range",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.0942089756114264,True,True
"daily: range; day: mean, range",mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,4.500884328103371,True,True
"daily: range; day: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,4.505859710691818,True,True
daily: mean; day: range; night: mean,mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.775044045221527,True,True
"day: mean, range; night: range",mean=skew_normal; range=beta,24,0.25,beta,4.0142741100083335,True,True
"daily: range; day: mean, range",mean=student_t; range=zero_inflated_beta,12,0.5,zero_inflated_beta,3.271396590570424,True,True
"daily: range; day: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,3.8336659686087726,True,True
"daily: mean, range; day: mean",mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,6.228700161581005,True,True
daily: mean; day: mean; night: range,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.924173852556584,True,True
daily: mean; day: mean; night: range,mean=student_t; range=beta,24,0.25,beta,5.538284602805494,True,True
daily: mean; day: mean; night: range,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,5.877051250778255,True,True
"day: mean, range; night: range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.386605339588531,True,True
"daily: range; night: mean, range",mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.304065943166656,True,True
daily: range; day: range; night: mean,mean=student_t; range=zero_inflated_beta,12,0.5,zero_inflated_beta,3.401420115988624,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta_constrained,12,0.25,beta_constrained,6.228870839359422,True,True
"night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.00000535557429,True,True
"day: range; night: mean, range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,4.846249161444133,True,True
daily: range; day: mean; night: range,mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,4.7913164952978144,True,True
"daily: range; night: mean, range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,4.813351770724287,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta,12,0.25,beta,6.200703591507193,True,True
"daily: range; night: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,5.177686762092112,True,True
"day: mean, range; night: range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,5.80579950497881,True,True
"daily: range; night: mean, range",mean=student_t; range=beta_constrained,12,0.25,beta_constrained,5.0443216186984925,True,True
"day: mean, range; night: range",mean=student_t; range=beta,24,0.25,beta,6.123945014219823,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,5.372716097974995,True,True
"day: mean, range; night: range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,5.943969572147628,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,6.126104561525708,True,True
"daily: range; day: mean, range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,4.671337921193165,True,True
daily: mean; day: mean; night: range,mean=skew_normal; range=beta,24,0.25,beta,5.922873718413669,True,True
"day: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,2.5606904467032288,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta,12,0.5,beta,2.0000058485943666,True,True
daily: range; day: range; night: mean,mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,4.652714890470851,True,True
day: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.014667527924457,True,True
"daily: range; night: mean, range",mean=student_t; range=beta,12,0.25,beta,4.986626278331187,True,True
"day: range; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.78559496687614,True,True
"day: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.509600671132124,True,True
daily: range; day: mean,mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,7.012705437894709,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta,12,0.25,beta,5.216768614012468,True,True
daily: mean; day: mean; night: range,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,2.321287723651498,True,True
day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,5.890767363296604,True,True
"day: mean, range; night: range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,2.951727764250104,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.626904710832239,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=beta,24,0.5,beta,5.4211566506882,True,True
"day: mean, range; night: range",mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,4.718415334158107,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,2.0000189880962798,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta,12,0.5,beta,2.132547403570125,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=beta,12,0.0,beta,6.663457008990805,True,True
"day: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.916440052777412,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.628795357093456,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.577452364736612,True,True
